12:50 12-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', '50a28676-5e1b-466b-ac1c-d1e8b0551011', '0.0.0.0', '40:91:51:9A:01:84', 'touched and 2.5*C warmer', 28]
11:20 12-13-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '40:91:51:9A:01:84', 755781635, 26, 'toothbrush was maybe not held in hand']
11:23 12-13-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '40:91:51:9A:01:84', 755781826, 26, 'toothbrush was maybe not held in hand']
11:26 12-13-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '40:91:51:9A:01:84', 755781984, 26, 'toothbrush was maybe not held in hand']
11:48 13-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '40:91:51:9A:01:84', 755783325, 24, 'toothbrush was maybe not held in hand']
12:04 13-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '40:91:51:9A:01:84', 755784275, 26, 'toothbrush was maybe not held in hand']
12:09 13-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '40:91:51:9A:01:84', 755784577, 27, 'toothbrush was maybe not held in hand']
12:13 13-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '40:91:51:9A:01:84', 755784786, 24, 'toothbrush was maybe not held in hand']
12:13 13-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '40:91:51:9A:01:84', 755784800, 12, 'toothbrush was maybe not held in hand']
12:20 13-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '40:91:51:9A:01:84', 755785232, 24, 'toothbrush was maybe not held in hand']
12:26 13-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '40:91:51:9A:01:84', 755785617, 28, 'touched and 295.46*C warmer']
12:35 13-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '40:91:51:9A:01:84', 755786100, 24, 'toothbrush was maybe not held in hand']
12:37 13-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '40:91:51:9A:01:84', 755786236, 24, 'toothbrush was maybe not held in hand']
12:38 13-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '40:91:51:9A:01:84', 755786309, 26, 'toothbrush was maybe not held in hand']
12:40 13-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '40:91:51:9A:01:84', 755786458, 26, 'toothbrush was maybe not held in hand']
12:43 13-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '40:91:51:9A:01:84', 755786632, 26, 'toothbrush was maybe not held in hand']
12:44 13-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '40:91:51:9A:01:84', 755786690, 26, 'toothbrush was maybe not held in hand']
12:45 13-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '40:91:51:9A:01:84', 755786757, 26, 'toothbrush was maybe not held in hand']
12:47 13-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '40:91:51:9A:01:84', 755786871, 24, 'toothbrush was maybe not held in hand']
